page_index,page_url,pdf_url,anchor,context,http_status,final_url,content_type,bytes,pdf_magic,sha256
1,https://biblicalstudies.org.uk/articles_rcl_01.php,https://biblicalstudies.org.uk/pdf/rcl/01-1_34.pdf,"Bibliography, 34-40. pdf","Bibliography, 34-40. pdf [Reproduced by permission of the current copyright holder]",200,https://biblicalstudies.org.uk/pdf/rcl/01-1_34.pdf,application/pdf,378148,True,67b98f7c7d2afeb40d0b416e4d136a13f794e529e3ae6423713e89ced590477d
1,https://biblicalstudies.org.uk/articles_rcl_01.php,https://biblicalstudies.org.uk/pdf/rcl/01-2_02.pdf,"Michael Bourdeaux, ""News From The Centre,"" Religion in Communist Lands 1.2 (1973): 2-3. pdf","Michael Bourdeaux, ""News From The Centre,"" Religion in Communist Lands 1.2 (1973): 2-3. pdf [Reproduced by permission of the current copyright holder]",200,https://biblicalstudies.org.uk/pdf/rcl/01-2_02.pdf,application/pdf,89384,True,9aec88e0df8de26e92c9dd5a3f6237a17ec67f3abecbdb2648e52e75c1489de8
1,https://biblicalstudies.org.uk/articles_rcl_01.php,https://biblicalstudies.org.uk/pdf/rcl/01-2_04.pdf,"Editorial, 4-5. pdf","Editorial, 4-5. pdf [Reproduced by permission of the current copyright holder]",200,https://biblicalstudies.org.uk/pdf/rcl/01-2_04.pdf,application/pdf,86933,True,54b9daafea13ee399e89a6f233107b8ce79ea0b578873ae7cea884d72282ca29
1,https://biblicalstudies.org.uk/articles_rcl_01.php,https://biblicalstudies.org.uk/pdf/rcl/01-2_06.pdf,"Christopher Cviic, ""Recent Developments in Church-State Relations in Yugoslavia,"" Religion in Communist Lands 1.2 (1973): 6-8. pdf","Christopher Cviic, ""Recent Developments in Church-State Relations in Yugoslavia,"" Religion in Communist Lands 1.2 (1973): 6-8. pdf [Reproduced by permission of the current copyright holder]",200,https://biblicalstudies.org.uk/pdf/rcl/01-2_06.pdf,application/pdf,142296,True,3dbc7b49f8aef33871ba94c24dea17caeda48bfb2ce60776e64831c694e52f0f
1,https://biblicalstudies.org.uk/articles_rcl_01.php,https://biblicalstudies.org.uk/pdf/rcl/01-2_09.pdf,"Victor Hayward, ""Religion Under The Communist Regime In China,"" Religion in Communist Lands 1.2 (1973): 9-13. pdf","Victor Hayward, ""Religion Under The Communist Regime In China,"" Religion in Communist Lands 1.2 (1973): 9-13. pdf [Reproduced by permission of the current copyright holder]",200,https://biblicalstudies.org.uk/pdf/rcl/01-2_09.pdf,application/pdf,251444,True,2cb59c68fe617e0dc9c79a83883f73b1a843a532e40fe2a5b1efd33ac443399f
1,https://biblicalstudies.org.uk/articles_rcl_01.php,https://biblicalstudies.org.uk/pdf/rcl/01-2_14.pdf,"""1. A Message From Some Russian Baptist Pastors ( Bratsky Vestnik ),"" Religion in Communist Lands 1.2 (1973): 14-17. pdf","""1. A Message From Some Russian Baptist Pastors ( Bratsky Vestnik ),"" Religion in Communist Lands 1.2 (1973): 14-17. pdf [Reproduced by permission of the current copyright holder]",200,https://biblicalstudies.org.uk/pdf/rcl/01-2_14.pdf,application/pdf,181103,True,14ab5d4d92d8598416e47d1edd96b7c545644f3ed717742b383820ec450e91b4
1,https://biblicalstudies.org.uk/articles_rcl_01.php,https://biblicalstudies.org.uk/pdf/rcl/01-2_17.pdf,"""2. An Appeal For Pastor Batunin,"" Religion in Communist Lands 1.2 (1973): 17-18. pdf","""2. An Appeal For Pastor Batunin,"" Religion in Communist Lands 1.2 (1973): 17-18. pdf [Reproduced by permission of the current copyright holder]",200,https://biblicalstudies.org.uk/pdf/rcl/01-2_17.pdf,application/pdf,101021,True,2f6e5354448eb2826cf92fab668f4a387d5c833c3a7780c3f7ac89762fb2ed44
1,https://biblicalstudies.org.uk/articles_rcl_01.php,https://biblicalstudies.org.uk/pdf/rcl/01-2_18.pdf,"""3. A List of Baptists Imprisoned In The Ussr During 1972,"" Religion in Communist Lands 1.2 (1973): 18-27. pdf","""3. A List of Baptists Imprisoned In The Ussr During 1972,"" Religion in Communist Lands 1.2 (1973): 18-27. pdf [Reproduced by permission of the current copyright holder]",200,https://biblicalstudies.org.uk/pdf/rcl/01-2_18.pdf,application/pdf,265367,True,0de0a62a3e2e3598d068afc3a4fddc04cf8b4b4ce289c8effb15c3cf8776473d
1,https://biblicalstudies.org.uk/articles_rcl_01.php,https://biblicalstudies.org.uk/pdf/rcl/01-2_28.pdf,"Bibliography, 28-33. pdf","Bibliography, 28-33. pdf [Reproduced by permission of the current copyright holder]",200,https://biblicalstudies.org.uk/pdf/rcl/01-2_28.pdf,application/pdf,579690,True,6187c4e79b4079b7bad810dfafc91d2db195d60d962509ad2604585b5f12df51
1,https://biblicalstudies.org.uk/articles_rcl_01.php,https://biblicalstudies.org.uk/pdf/rcl/01-3_02.pdf,"Editorial, 2-3. pdf","Editorial, 2-3. pdf [Reproduced by permission of the current copyright holder]",200,https://biblicalstudies.org.uk/pdf/rcl/01-3_02.pdf,application/pdf,106265,True,ebc4f486c5dd3fd494726f966910fec5876bfdbeba64741bc9cc7b89232a188e
